ElementId,ElementTypeNumeric,ElementTypeName,DotNetTypeName,HasSolidPrimitive,HasCurveVector,HasGraphics,ChildCount_GetChildren,ChildCount_ChildElemIter,HasRange,Notes
6290450,19,19,,True,False,False,-1,6,True,
6290457,19,19,,True,False,False,-1,6,True,
6290464,19,19,,True,False,False,-1,6,True,
6290471,19,19,,True,False,False,-1,6,True,
6290478,19,19,,True,False,False,-1,6,True,
6290485,19,19,,True,False,False,-1,6,True,
6290541,19,19,,True,False,False,-1,6,True,
6290705,19,19,,True,False,False,-1,6,True,
6290712,19,19,,True,False,False,-1,6,True,
6290883,19,19,,True,False,False,-1,6,True,
6290890,19,19,,True,False,False,-1,6,True,
6290897,19,19,,True,False,False,-1,6,True,
6290904,19,19,,True,False,False,-1,6,True,
6290911,19,19,,True,False,False,-1,6,True,
6291783,2,2,,False,False,False,-1,23,True,
6291784,19,19,,True,False,False,-1,6,True,
6291791,19,19,,True,False,False,-1,6,True,
6291798,2,2,,False,False,False,-1,23,True,
6291934,19,19,,True,False,False,-1,6,True,
6291941,19,19,,True,False,False,-1,6,True,
6291948,2,2,,False,False,False,-1,23,True,
6292084,19,19,,True,False,False,-1,6,True,
6292091,19,19,,True,False,False,-1,6,True,
6292098,2,2,,False,False,False,-1,23,True,
6292234,2,2,,False,False,False,-1,23,True,
6292370,19,19,,True,False,False,-1,6,True,
6292377,19,19,,True,False,False,-1,6,True,
6292384,19,19,,True,False,False,-1,6,True,
6292391,19,19,,True,False,False,-1,6,True,
6292398,19,19,,True,False,False,-1,6,True,
6292405,19,19,,True,False,False,-1,6,True,
6292412,19,19,,True,False,False,-1,6,True,
6292419,2,2,,False,False,False,-1,23,True,
6292555,19,19,,True,False,False,-1,6,True,
6292562,19,19,,True,False,False,-1,6,True,
6292569,19,19,,True,False,False,-1,6,True,
6292576,19,19,,True,False,False,-1,6,True,
6292583,19,19,,True,False,False,-1,6,True,
6292590,19,19,,True,False,False,-1,6,True,
6292597,2,2,,False,False,False,-1,4,True,
6294066,19,19,,True,False,False,-1,6,True,
6294073,19,19,,True,False,False,-1,6,True,
6294080,19,19,,True,False,False,-1,6,True,
6294087,19,19,,True,False,False,-1,6,True,
6294094,19,19,,True,False,False,-1,6,True,
6294101,19,19,,True,False,False,-1,6,True,
6294108,19,19,,True,False,False,-1,6,True,
6294115,19,19,,True,False,False,-1,6,True,
6294122,19,19,,True,False,False,-1,6,True,
6294129,19,19,,True,False,False,-1,6,True,
6294136,19,19,,True,False,False,-1,6,True,
6294143,19,19,,True,False,False,-1,6,True,
6294150,19,19,,True,False,False,-1,6,True,
6294157,19,19,,True,False,False,-1,6,True,
6294164,19,19,,True,False,False,-1,6,True,
6294171,19,19,,True,False,False,-1,6,True,
6294178,19,19,,True,False,False,-1,6,True,
6294185,19,19,,True,False,False,-1,6,True,
6294192,19,19,,True,False,False,-1,6,True,
6294199,19,19,,True,False,False,-1,6,True,
6294206,19,19,,True,False,False,-1,6,True,
6294213,19,19,,True,False,False,-1,6,True,
6294220,19,19,,True,False,False,-1,6,True,
6294227,19,19,,True,False,False,-1,6,True,
6294234,2,2,,False,False,False,-1,23,True,
6294370,19,19,,True,False,False,-1,6,True,
6294377,19,19,,True,False,False,-1,6,True,
6294384,2,2,,False,False,False,-1,23,True,
6294520,19,19,,True,False,False,-1,6,True,
6294527,19,19,,True,False,False,-1,6,True,
